20,20
244,266,15,294,158,131,259,62,306,225,221,231,324,351,273,142,5,70,198,232
331,85,1,390,196,239,23,163,217,361,222,141,301,370,93,160,253,90,174,20
100,195,134,400,215,260,139,49,280,263,313,352,245,356,128,67,112,288,61,309
181,238,377,346,137,250,383,12,34,108,312,104,194,392,187,89,33,10,281,258
318,182,7,384,145,308,171,387,286,68,103,157,218,81,237,123,31,69,375,170
285,255,6,156,186,327,295,368,349,287,311,64,305,268,364,58,150,35,53,44
202,37,251,206,367,296,129,355,50,398,48,161,169,74,190,388,334,317,111,333
124,184,378,87,130,115,265,224,299,292,24,79,77,136,122,152,216,27,192,357
51,326,164,302,229,211,57,59,38,338,144,105,320,199,41,135,101,116,341,395
272,372,379,380,235,72,32,386,19,393,360,29,92,347,75,8,234,358,83,249
274,153,110,371,43,291,2,30,18,11,119,344,343,297,177,167,52,279,162,328
88,212,138,389,303,120,14,25,180,246,329,42,267,382,363,261,26,210,106,121
366,126,248,396,28,315,99,373,40,168,84,47,78,307,257,209,76,178,223,96
335,228,140,230,374,275,284,293,319,102,203,133,114,207,4,155,359,254,262,277
362,213,283,219,304,264,175,3,117,39,322,300,45,310,289,339,399,394,98,369
256,397,208,298,154,36,204,337,17,243,314,348,143,220,381,323,151,270,236,63
173,55,147,233,166,179,46,365,146,325,97,16,282,354,13,176,56,350,73,189
200,197,71,240,159,125,214,316,65,107,252,82,269,330,185,172,66,278,276,353
321,385,148,336,109,227,205,149,127,191,193,91,345,271,54,9,95,340,241,183
165,80,118,132,226,201,60,342,188,86,113,242,22,247,391,290,332,376,94,21

