60,60
3301,243,431,3220,1680,2611,659,2517,3357,3134,3062,576,3079,961,1228,2473,3267,629,1311,1344,1820,1836,1784,1111,3019,152,1182,2876,2781,3335,2170,2090,1605,3400,1830,1614,2897,2791,1848,2078,2706,1477,1871,1053,2768,1134,1498,2801,781,743,1458,3237,3309,2365,917,2308,3265,2200,3312,1824
968,2729,751,1587,1672,478,634,1926,1260,1502,1634,2045,3203,1158,1691,2509,2337,213,362,1219,927,1367,2549,1610,2771,2831,928,651,2093,990,3011,2166,2965,2889,2013,400,2905,514,3140,2407,3064,1735,3572,1089,185,1447,2434,1567,3345,262,2661,2528,459,1161,2786,2796,1336,1563,544,1091
2948,12,693,2387,2486,2512,2379,1227,2878,3566,1316,738,1568,503,1371,2072,2543,932,54,858,3394,1548,639,3214,231,334,1085,3096,765,1857,17,3191,1273,3105,2453,1382,1968,1575,506,946,3508,189,1616,2383,1633,2207,370,292,3151,2130,1740,3198,1130,2864,1487,444,2245,2947,499,1262
3416,1845,1308,1684,351,2182,1439,3599,270,2904,2011,671,2113,2322,408,2663,2872,2746,697,806,1286,1674,433,2135,1713,203,3222,2784,137,602,3106,538,694,497,1893,3031,2114,1238,2188,2577,1947,2977,3069,486,3406,1482,3334,1550,1047,116,2901,3503,3023,240,1732,1105,826,2257,465,888
221,1621,2896,172,409,1576,1499,3398,2335,2612,641,3003,383,10,3201,3171,3474,3213,3263,1119,1776,1279,3194,2723,439,250,1312,198,1138,847,875,1063,853,491,1417,389,1888,1196,3586,1868,653,2466,181,969,1995,1929,2800,1863,1554,3157,2293,1179,3103,2571,623,1288,3247,1152,2425,973
1265,378,3322,212,481,2003,2894,2692,2105,2677,393,1910,1543,2626,846,1670,176,1112,2578,165,1915,3068,2279,1741,2219,1155,3036,461,1156,2134,994,95,1423,1953,1404,2044,163,412,3542,3088,1160,430,377,3495,955,3420,2038,1907,2400,1455,1217,3260,2497,385,3130,1945,474,1525,2399,1913
2987,1246,3033,1239,618,2696,683,930,1950,191,3536,1908,983,2158,1405,274,999,65,2883,585,1515,3170,1612,2367,140,1797,3336,749,601,3073,1536,282,1529,1849,2913,2919,57,1205,2587,898,3538,2053,1473,569,3384,2437,229,2366,239,3556,2852,2755,1352,2319,3306,519,214,437,3570,3388
2639,1946,3517,1939,2164,1446,1608,1140,902,1269,725,3177,3279,1290,56,753,7,2340,1170,3547,2458,3007,970,1562,3087,1013,3295,1349,394,1988,1425,3421,1067,1075,1977,3550,2265,3252,1409,3578,3468,3181,1810,410,3018,78,3525,142,3269,2999,114,943,1625,3528,3044,496,1224,1852,2333,695
552,1093,3539,2083,2573,1673,2160,3293,3107,3392,665,34,3472,1553,977,2745,3502,727,1185,2996,2028,2585,2380,38,1118,182,1259,26,88,3186,1652,830,2743,204,1847,966,1996,1761,1324,2254,3278,579,2668,2008,3028,1313,908,686,3091,2324,536,3321,2714,2707,1045,318,850,1572,2485,1173
363,260,3058,1595,873,854,705,3499,451,2392,2153,1,2902,1964,3590,3534,255,1490,2024,2429,3262,880,2733,1835,423,1024,352,1943,3289,3258,972,1793,2613,2339,3082,249,2099,2184,3083,218,1911,1197,712,3541,1306,3446,285,647,920,2446,1960,2859,2521,949,1980,1127,2223,3467,2973,316
