40,40
1322,835,498,1160,818,1490,642,33,1021,172,802,176,76,231,1005,328,192,1399,935,714,718,1080,55,229,725,1129,857,477,1289,1508,1372,268,549,271,1124,142,786,147,471,896
1374,1381,1022,1422,445,410,482,61,1336,1212,1033,670,1132,321,838,775,1290,1155,31,585,401,327,461,979,930,851,1018,1095,1467,155,1487,1098,244,105,999,430,1571,1090,1255,290
1223,322,48,1401,581,1577,247,88,358,144,1009,1063,416,22,182,919,282,997,1378,1273,1128,868,332,1011,622,449,331,1153,300,375,236,617,1539,1353,663,494,728,337,590,575
1115,659,736,1260,853,686,619,1269,1029,291,1131,832,735,1478,487,1186,878,1035,1342,379,1218,1274,1500,1245,1125,1554,39,603,987,1099,792,20,745,1077,1598,456,1597,1278,811,1587
1596,1169,1485,1511,911,413,398,257,1190,342,865,499,288,1217,1088,683,869,495,1193,360,1404,197,19,24,651,1344,443,1235,834,626,428,32,483,1369,827,170,1101,339,1573,16
405,177,746,1083,439,1134,1293,1535,1416,1507,306,53,502,387,611,1307,123,936,1419,1097,1345,1237,319,949,36,1159,604,318,953,1472,738,1017,1552,1107,955,1166,232,1540,1350,459
541,1168,1412,157,1351,1210,1533,1517,884,717,1007,378,17,700,1264,1431,404,672,579,741,277,66,942,1140,230,530,837,509,278,822,1086,1408,557,737,1318,980,1377,1176,485,1263
1177,516,1600,830,1411,1499,414,674,9,1382,343,716,799,640,629,350,1180,273,1398,1114,1232,528,708,267,117,44,1321,826,709,1595,587,214,1325,225,79,1433,766,789,637,124
753,917,1550,989,570,615,240,1337,939,52,497,1386,1206,1544,780,751,112,1407,289,1079,1333,950,169,1209,1052,1027,185,1356,293,730,734,566,448,383,1562,807,1555,1292,1242,916
1594,326,797,592,1149,374,705,84,1538,62,1041,852,1302,198,1426,1425,25,1068,89,1121,658,1395,175,938,1297,1191,905,1231,435,975,1111,294,614,208,696,80,836,460,454,1582
1008,253,739,1455,782,720,743,1221,261,1380,1324,862,1113,163,1417,774,929,308,1136,92,729,114,108,1366,906,1081,203,947,698,1414,1457,1589,335,303,756,946,759,263,1509,1256
1198,341,1119,1537,74,71,390,532,102,419,218,809,251,925,1020,892,537,1135,525,1530,1288,312,83,179,1305,643,82,1296,1309,1208,1013,1072,749,1329,1497,35,1277,411,761,60
329,1284,12,1586,1450,364,1234,1213,241,160,1066,616,1388,1502,752,484,565,1559,785,222,1444,1253,816,1319,1036,496,391,438,1591,34,1359,201,317,914,140,139,386,299,1439,1330
1295,1479,100,205,510,883,724,422,776,1279,600,504,1185,276,162,994,372,971,353,1464,534,1446,503,1590,1563,1466,795,1316,2,1376,1074,1173,359,1405,972,1061,150,446,1428,1308
433,526,233,1379,1270,1340,27,628,1585,583,855,1488,1236,1102,1518,1148,719,126,1360,533,1182,40,1347,825,296,551,275,847,274,168,420,351,831,1495,1334,1548,976,712,1239,394
1528,1311,890,538,778,948,1531,563,646,260,784,1541,315,544,54,355,860,128,133,118,1394,1043,1220,107,436,843,345,207,923,1147,967,1249,1096,281,256,1365,217,844,1275,1358
1174,403,1440,1546,671,116,264,1524,472,357,156,1460,1306,808,210,769,1349,1355,1222,667,1179,606,618,1078,1196,125,944,349,685,850,249,1230,1034,545,624,1130,365,1335,777,1032
1283,1423,859,596,801,895,1093,111,846,1167,58,467,38,1214,964,1287,356,347,1588,952,909,1410,984,440,576,1547,519,412,1006,417,920,625,3,211,1592,981,764,73,677,51
867,990,245,1529,90,1143,190,199,1558,763,476,381,1521,409,1059,492,668,888,1150,1282,932,397,13,1285,1421,127,871,1040,620,1489,1002,612,1348,152,982,1257,692,453,46,243
292,1170,845,558,166,373,50,542,1449,70,493,1427,773,567,1075,1071,602,1141,610,171,1526,164,324,927,481,295,986,180,388,1532,1298,1122,933,1228,703,216,47,110,1354,141
1523,956,1453,1058,1266,1599,432,521,213,1019,85,1105,137,421,943,1556,1565,226,8,392,815,1313,209,1443,1187,1491,424,695,710,202,552,1522,1557,536,1084,1045,1432,682,765,767
399,861,1583,1331,726,517,839,377,1445,803,1576,1261,23,701,770,1142,352,418,1271,996,1525,1246,1250,138,899,149,5,1076,690,985,41,284,369,1434,711,1267,1154,699,1108,473
1276,969,1145,631,657,406,805,540,21,385,608,1037,876,1110,1471,441,820,1163,396,560,806,194,279,1171,1195,886,814,1,1584,389,187,4,368,423,457,1493,361,489,143,613
480,1265,913,204,1048,131,146,998,926,656,189,511,1303,178,1026,665,779,680,402,1357,1156,255,546,1038,1373,362,1515,72,1082,220,56,96,966,1461,1549,781,451,922,1014,1519
747,580,42,248,553,465,1473,1496,136,1229,571,991,522,122,1352,310,1504,1089,354,1339,238,1112,681,921,1323,1047,1000,258,1247,68,11,103,151,632,223,813,1363,1482,338,887
