1 , 7.152557373046875e-07 , 5.245208740234375e-07 , 3.337860107421875e-07
2 , 1.0013580322265625e-06 , 6.67572021484375e-07 , 5.245208740234375e-07
3 , 1.6689300537109375e-06 , 1.2874603271484376e-06 , 9.5367431640625e-07
4 , 2.4318695068359373e-06 , 1.9550323486328123e-06 , 1.33514404296875e-06
5 , 3.3855438232421873e-06 , 2.574920654296875e-06 , 1.71661376953125e-06
6 , 4.625320434570312e-06 , 3.62396240234375e-06 , 2.47955322265625e-06
7 , 5.865097045898438e-06 , 4.673004150390625e-06 , 3.147125244140625e-06
8 , 7.62939453125e-06 , 5.7220458984375e-06 , 3.814697265625e-06
9 , 9.441375732421875e-06 , 7.200241088867187e-06 , 4.76837158203125e-06
10 , 1.1539459228515625e-05 , 8.678436279296875e-06 , 5.7220458984375e-06
11 , 1.3828277587890625e-05 , 1.02996826171875e-05 , 6.9141387939453125e-06
12 , 1.6260147094726563e-05 , 1.2111663818359374e-05 , 8.153915405273438e-06
13 , 1.8835067749023438e-05 , 1.4019012451171874e-05 , 9.5367431640625e-06
14 , 2.1982192993164063e-05 , 1.7070770263671874e-05 , 1.0919570922851562e-05
15 , 2.4938583374023436e-05 , 1.8262863159179686e-05 , 1.2540817260742188e-05
16 , 2.8181076049804688e-05 , 2.064704895019531e-05 , 1.41143798828125e-05
17 , 3.16619873046875e-05 , 2.3174285888671876e-05 , 1.5926361083984374e-05
18 , 3.528594970703125e-05 , 2.574920654296875e-05 , 1.7595291137695312e-05
19 , 3.910064697265625e-05 , 2.8562545776367187e-05 , 1.9550323486328125e-05
20 , 4.315376281738281e-05 , 3.142356872558594e-05 , 2.160072326660156e-05
21 , 4.7540664672851564e-05 , 3.4475326538085936e-05 , 2.3794174194335937e-05
22 , 5.2022933959960935e-05 , 3.752708435058594e-05 , 2.6226043701171875e-05
23 , 5.660057067871094e-05 , 4.100799560546875e-05 , 2.8467178344726564e-05
24 , 6.146430969238282e-05 , 4.448890686035156e-05 , 3.08990478515625e-05
25 , 6.661415100097656e-05 , 4.8065185546875e-05 , 3.35693359375e-05
26 , 7.185935974121093e-05 , 5.183219909667969e-05 , 3.628730773925781e-05
27 , 7.748603820800781e-05 , 5.564689636230469e-05 , 3.886222839355469e-05
28 , 8.392333984375e-05 , 5.9938430786132814e-05 , 4.172325134277344e-05
29 , 8.907318115234376e-05 , 6.399154663085937e-05 , 4.458427429199219e-05
30 , 9.508132934570313e-05 , 6.833076477050782e-05 , 4.773139953613281e-05
31 , 0.00010128021240234375 , 7.252693176269531e-05 , 5.0687789916992186e-05
32 , 0.00010881423950195312 , 7.74383544921875e-05 , 5.402565002441406e-05
33 , 0.00011434555053710938 , 8.182525634765625e-05 , 5.7363510131835936e-05
34 , 0.00012135505676269531 , 8.683204650878906e-05 , 6.06536865234375e-05
35 , 0.00012884140014648437 , 9.183883666992187e-05 , 6.442070007324218e-05
36 , 0.00013513565063476561 , 9.6893310546875e-05 , 6.794929504394531e-05
37 , 0.00014247894287109376 , 0.00010309219360351562 , 7.176399230957031e-05
38 , 0.0001502513885498047 , 0.00010771751403808594 , 7.5531005859375e-05
